Launch Date and Time (UTC),Launch Date Only (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Nation of Ownership,Official Payload Name,Manufacturer's Payload Name,Inclination degrees,COSPAR,Launch Designator ,SATCAT ID,SATCAT ID w/o success code or leading zeros,LV S/N,Site,Ref,International Designator,Decay Date,Orbital Period minutes,Apogee Altitude kilometers,Perigee Altitude kilometers,Radar Cross Section meters2
1957 Dec  6 1644:35,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,,Vanguard,Vanguard Test Satellite,,1957-F01,1957-F01,F00002,2,TV-3,CC       LC18A,Vang-ER9948,1957-001B,,,,,
1957 Nov  3 0230:42,11/3/1957,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8K71PS,S,CIS,2-y ISZ,PS-2,65.3,1957 BET 1,1957 BET,S00003,3,M1-2PS,NIIP-5   LC1,Grahn-WWW,1957-002A,4/14/1958,103.7,1659,211,0.08
1957 Oct  4 1928:34,10/4/1957,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8K71PS,S,CIS,1-y ISZ,PS-1,65,1957 ALP 2,1957 ALP,S00002,2,M1-PS,NIIP-5   LC1,Energiya,1957-001B,1/3/1958,96.1,945,227,N/A
1958 Apr 27 0901,,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8A91,F,,[ISZ],D-1 No. 1,,1958-F03,1958-F03,F00008,8,B1-2,NIIP-5   LC1,NezavB,1958-004B,,,,,
1958 Apr 29 0253:00,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,,Vanguard,X-ray satellite,,1958-F04,1958-F04,F00011,11,TV-5,CC       LC18A,Vang-ER10300,1959-001A,,,,,
1958 Aug 12,,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,,NOTS 2,Diagnostic Payload 2,,1958-F08,1958-F08,F00021,21,2,"F4D-1 747,NOTS RW  -> DZSB",NOTS,1959-008A,,,,,
1958 Aug 17 1218,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Able I,F,,Able I (Pioneer),Able 1,,1958-F09,1958-F09,F00023,23,127,CC       LC17A,NASA-5-25-59W-V3,1959-009B,,,,,
1958 Aug 22,,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,,NOTS 3,Diagnostic Payload 3,,1958-F10,1958-F10,F00027,27,3,"F4D-1 747,NOTS RW  -> DZSB",NOTS,1960-001A,,,,,
1958 Aug 24 0617:22,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Jupiter C,F,,Explorer 5,Explorer 5,,1958-F11,1958-F11,F00029,29,RS/CC-47 HN,CC       LC5,JunoFam,1960-002B,,,,,
1958 Aug 25,,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,,NOTS 4,Radiation Payload 1,,1958-F12,1958-F12,F00032,32,4,"F4D-1 747,NOTS RW  -> DZSB",NOTS,1960-004A,,,,,
1958 Aug 26,,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,,NOTS 5,Radiation Payload 2,,1958-F13,1958-F13,F00035,35,5,"F4D-1 747,NOTS RW  -> DZSB",NOTS,1960-005B,,,,,
1958 Aug 28,,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,,NOTS 6,Radiation Payload 3,,1958-F14,1958-F14,F00038,38,6,"F4D-1 747,NOTS RW  -> DZSB",NOTS,1960-005E,,,,,
1958 Dec  4,,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,F,,[AMS Luna] E-1 No. 3,E-1 No. 3,,1958-F20,1958-F20,F00054,54,B1-5,NIIP-5   LC1,AVMNLJ,1960-010A,,,,,
1958 Dec  6 0544:52,12/6/1958,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,S,US,Pioneer 3,Pioneer 3,,1958 THE,1958 THE,S00111,111,AM-11,CC       LC5,JPL32-31-2,1958-008A,12/7/1958,,,,N/A    NIE
1958 Dec 18 2302,12/18/1958,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas B,S,US,SCORE,SCORE,32.3,1958 ZET,1958 ZET,S00010,10,10B,CC       LC11,AP,1958-006A,1/21/1959,98.2,1187,159,N/A
1958 Feb  1 0347:56,2/1/1958,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Jupiter C,S,US,Explorer 1,Explorer 1,33.2,1958 ALP,1958 ALP,S00004,4,RS-29    UE,CC       LC26A,JunoFam,1958-001A,3/31/1970,88.5,215,183,N/A
1958 Feb  5 0733,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,,Vanguard,Vanguard Test Satellite,,1958-F01,1958-F01,F00004,4,TV-3BU,CC       LC18A,Vang-ER9955,1958-001A,,,,,
1958 Jul 25,,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,,NOTS 1,Diagnostic Payload 1,,1958-F07,1958-F07,F00018,18,1,"F4D-1 747,NOTS RW  -> DZSB",NOTS,1959-005A,,,,,
1958 Jul 26 1500:57,7/26/1958,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Jupiter C,S,US,Explorer 4,Explorer 4,50.3,1958 EPS,1958 EPS,S00009,9,RS/CC-44 TT,CC       LC5,JunoFam,1958-005A,10/23/1959,92.8,585,239,N/A
1958 Jun 26 0500:52,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,,Vanguard,X-ray satellite,,1958-F06,1958-F06,F00015,15,SLV-2,CC       LC18A,Vang-ER10302,1959-004A,,,,,
1958 Mar  5 1827:57,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Jupiter C,F,,Explorer 2,Explorer 2,,1958-F02,1958-F02,F00006,6,RS/CC-26 UV,CC       LC26A,JunoFam,1958-003A,,,,,
1958 Mar 17 1215:41,3/17/1958,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,S,US,Vanguard I,Vanguard Test Satellite,34.2,1958 BET 2,1958 BET,S00005,5,TV-4,CC       LC18A,SP-4202,1958-002B,,132.8,3834,652,0.1196
1958 Mar 26 1738:03,3/26/1958,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Jupiter C,S,US,Explorer 3,Explorer 3,33.5,1958 GAM,1958 GAM,S00006,6,RS-24    UT,CC       LC5,JunoFam,1958-003A,6/28/1958,103.6,1739,117,N/A
1958 May 15 0700:35,5/15/1958,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8A91,S,CIS,3-y Sovetskiy ISZ,D-1 No. 2,65.1,1958 DEL 2,1958 DEL,S00008,8,B1-1,NIIP-5   LC1,NezavB,1958-004B,4/6/1960,88.4,255,139,11.84
1958 May 28 0346:20,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,,Vanguard,Lyman Alpha satellite,,1958-F05,1958-F05,F00013,13,SLV-1,CC       LC18A,Vang-ER10301,1959-002A,,,,,
1958 Nov  8 0730:21,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Able I,F,,Pioneer 2,Able 3,,1958-F19,1958-F19,F00051,51,129,CC       LC17A,NASA-5-25-59W-V3,1960-009C,,,,,
1958 Oct 11,,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,F,,[AMS Luna] E-1 No. 2,E-1 No. 2,,1958-F17,1958-F17,F00044,44,B1-4,NIIP-5   LC1,AVMNLJ,1960-006B,,,,,
1958 Oct 11 0842:13,10/11/1958,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Able I,S,US,Pioneer 1,Able 2,,1958 ETA,1958 ETA,S00110,110,130,CC       LC17A,NASA-5-25-59W-V3,1958-007A,10/12/1958,,,,N/A    NIE
1958 Oct 23 0321:04,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Jupiter C,F,,Beacon,Beacon,,1958-F18,1958-F18,F00048,48,RS/CC-49 HE,CC       LC5,JPL-FOM-59-10,1960-008A,,,,,
1958 Sep 23,,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,F,,[AMS Luna] E-1 No. 1,E-1 No. 1,,1958-F15,1958-F15,F00040,40,B1-3,NIIP-5   LC1,AVMNLJ,1960-005G,,,,,
1958 Sep 26 1538,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,,Vanguard,Cloud cover satellite,,1958-U01,1958-U01,F00042,42,SLV-3,CC       LC18A,Vang-ER10303,1960-005J,,,,,
1959 Apr 13 2118:39,4/13/1959,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,US,Discoverer 2,CORONA BIO 1,89.9,1959 GAM,1959 GAM,S00014,14,170/FTV 1018,V        75-3-4,NRO3E24,1959-003A,4/26/1959,90.4,346,239,N/A
1959 Apr 14 0249:46,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,,Vanguard,Magnetometer satellite,,1959-F01,1959-F01,F00056,56,SLV-5,CC       LC18A,Vang-ER10589,1960-011B,,,,,
1959 Aug  7 1424:20,8/7/1959,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Able III,S,US,Explorer 6,NASA S-2,47,1959 DEL 1,1959 DEL,S00015,15,134,CC       LC17A,RAE/PSC,1959-004A,6/30/1961,762.3,42276,251,N/A
1959 Aug 13 1900:08,8/13/1959,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,US,Discoverer 5,CORONA C-2,80,1959 EPS 1,1959 EPS,S00018,18,192/FTV 1029,V        75-3-4,NRO3E24,1959-005A,9/28/1959,89.1,323,137,N/A
1959 Aug 15 0031:00,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,F,,Beacon,Beacon,,1959-F07,1959-F07,F00074,74,AM-19B,CC       LC26B,JPL32-31-3,1960-016C,,,,,
1959 Aug 19 1924:44,8/19/1959,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,US,Discoverer 6,CORONA C-3,84,1959 ZET,1959 ZET,S00019,19,200/FTV 1028,V        75-3-5,NRO3E24,1959-006A,10/20/1959,90.9,469,171,N/A
1959 Feb 17 1555,2/17/1959,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,S,US,Vanguard II,Cloud cover satellite,32.9,1959 ALP 1,1959 ALP,S00011,11,SLV-4,CC       LC18A,Vang-ER10304,1959-001A,,121.5,2944,555,0.387
1959 Feb 28 2149:16,,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,F,,Discoverer 1,CORONA Test Vehicle 2,,1959 BET,1959 BET,S00013,13,163/FTV 1022,V        75-3-4,NRO2D4,1959-002A,,,,,
1959 Jan  2 1641:21,1/2/1959,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,S,CIS,AMS Luna-1,E-1 No. 4,,1959 MU 1,1959 MU,S00112,112,B1-6,NIIP-5   LC1,Energiya,1959-012A,,,,,N/A    SU0
1959 Jul 16 1737:03,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,F,,NASA S-1,NASA S-1,,1959-F05,1959-F05,F00072,72,AM-16,CC       LC5,JPL32-31-3,1961-002B,,,,,
1959 Jun  3 2009:20,,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,F,,Discoverer 3,CORONA BIO 2,,1959-F02,1959-F02,F00060,60,174/FTV 1020,V        75-3-4,NRO3E24,1960-014A,,,,,
1959 Jun 18 0808,,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,F,,[AMS Luna] E-1 No. 5,E-1 No. 5,,1959-F06,1959-F06,F00064,64,I1-7,NIIP-5   LC1,NezavB,1960-016B,,,,,
1959 Jun 22 2016:09,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,,Vanguard,Radiation Balance sat,,1959-F03,1959-F03,F00066,66,SLV-6,CC       LC18A,Vang-ER-SLV6,1960-017B,,,,,
1959 Jun 25 2247:45,,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,F,,Discoverer 4,CORONA C-1,,1959-U01,1959-U01,F00068,68,179/FTV 1023,V        75-3-5,NRO3E3,1960-019A,,,,,
1959 Mar  3 0510:56,3/3/1959,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,S,US,Pioneer 4,Pioneer 4,,1959 NU 1,1959 NU,S00113,113,AM-14,CC       LC5,JPL32-31-2,1959-013A,,,,,N/A    SU0
1959 Nov  7 2028:41,11/7/1959,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,US,Discoverer 7,CORONA C-4,81.6,1959 KAP,1959 KAP,S00024,24,206/FTV 1051,V        75-3-4,NRO3E24,1959-010A,11/26/1959,91.5,539,161,N/A
1959 Nov 20 1925:24,11/20/1959,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,US,Discoverer 8,CORONA C-5,80.7,1959 LAM,1959 LAM,S00025,25,212/FTV 1050,V        75-3-5,NRO3E24,1959-011A,3/8/1960,88,239,115,N/A
1959 Nov 26 0726,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Able,F,,P-3,Able IVB,,1959-F09,1959-F09,F00081,81,20D,CC       LC14,KHR-1,1961-004A,,,,,
1959 Oct  4 0043:39,10/4/1959,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,S,CIS,AMS Luna-3,E-2A,55,1959 THE 1,1959 THE,S00021,21,I1-8,NIIP-5   LC1,NezavB,1959-008A,4/20/1960,21563.2,499998,500,N/A
1959 Oct 13 1530:04,10/13/1959,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,S,US,Explorer 7,NASA S-1A,50.3,1959 IOT 1,1959 IOT,S00022,22,AM-19A,CC       LC5,FOM-JUNO-AM16A,1959-009A,,96.5,696,489,0.5049
1959 Sep 12 0639:42,9/12/1959,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,S,CIS,AMS Luna-2,E-1 No. 7,,1959 XI 1,1959 XI,S00114,114,I1-7B,NIIP-5   LC1,JBIS51-231,1959-014A,9/13/1959,,,,N/A    MO2
1959 Sep 17 1434,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Able II,F,,Transit 1A,Transit 1A,,1959-F08,1959-F08,F00077,77,136,CC       LC17A,SanMateoTimes590917,1961-003C,,,,,
1959 Sep 18 0520:07,9/18/1959,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,S,US,Vanguard III,Magne-Ray satellite,33.4,1959 ETA,1959 ETA,S00020,20,SLV-7,CC       LC18A,Vang-ER-SLV7,1959-007A,,124.7,3271,510,0.659
1960 Apr  1 1140:09,4/1/1960,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Able II,S,US,Tiros 1,A-1,48.4,1960 BET 2,1960 BET,S00029,29,148,CC       LC17A,NASA-TR-R131,1960-002B,,97.7,666,632,0.843
1960 Apr 13 1202:36,4/13/1960,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Ablestar,S,US,Transit 1B,Transit 1B,51.2,1960 GAM 2,1960 GAM,S00031,31,257/AB002,CC       LC17B,RAE/PSC,1960-003B,10/5/1967,88.7,220,201,N/A
1960 Apr 15 1506:45,,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,F,,[Luna-4],E-3 No. 1,,1960-U01,1960-U01,A00045,45,L1-9,NIIP-5   LC1,NezavB,1960-007A,,,,,
1960 Apr 15 2030:37,4/15/1960,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,US,Discoverer 11,CORONA C-8,80.1,1960 DEL,1960 DEL,S00032,32,234/FTV 1055,V        75-3-5,NRO3E24,1960-004A,4/26/1960,89.7,377,142,N/A
1960 Apr 16 1607:41,,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,F,,[Luna-4],E-3 No. 2,,1960-F06,1960-F06,F00098,98,L1-9A,NIIP-5   LC1,NezavB,1961-010A,,,,,
1960 Aug 10 2037:54,8/10/1960,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Agena A,S,US,Discoverer 13,CORONA Diagnostic 2,82.9,1960 THE,1960 THE,S00048,48,231/FTV 1057,V        75-3-5,NRO3E24,1960-008A,11/14/1960,89.4,272,216,N/A
1960 Aug 12 0939:43,8/12/1960,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta,S,US,Echo 1,A-11,47.2,1960 IOT 1,1960 IOT,S00049,49,270/D2,CC       LC17A,TR-1022,1960-009A,5/24/1968,92.7,419,394,N/A
1960 Aug 18 1957:08,8/18/1960,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,US,Discoverer 14,CORONA C-9,79.7,1960 KAP,1960 KAP,S00054,54,237/FTV 1056,V        75-3-4,NRO3E24,1960-010A,9/16/1960,87.5,151,151,N/A
1960 Aug 18 1958,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Ablestar,F,,Courier 1A,Courier 1A,,1960-F10,1960-F10,F00111,111,262/AB004,CC       LC17B,Wire,1958-008A,,,,,
1960 Aug 19 0844:06,8/19/1960,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72,S,CIS,Korabl'-Sputnik-2,Vostok-1 No. 2,64.9,1960 LAM 1,1960 LAM,S00055,55,L1-12,NIIP-5   LC1,NezavB,1960-011A,8/20/1960,90.7,307,307,N/A
1960 Dec  1 0730:04,12/1/1960,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72,S,CIS,Korabl'-Sputnik-3,Vostok-1 No. 3,65,1960 RHO 1,1960 RHO,S00065,65,L1-13,NIIP-5   LC1,NezavB,1960-017A,12/2/1960,88.4,218,171,N/A
1960 Dec  4 2114,,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout X-1,F,,NASA S-56,NASA S-56,,1960-F17,1960-F17,F00136,136,ST-3,WI       LA3,Wire,1961-015W,,,,,
1960 Dec  7 2020:58,12/7/1960,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,US,Discoverer 18,CORONA C'-3,81.5,1960 SIG,1960 SIG,S00067,67,296/FTV 1103,V        75-3-4,VCR,1960-018A,4/2/1961,89.1,279,179,N/A
1960 Dec 15 0910,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Able,F,,P-31,Able VB,,1960-F18,1960-F18,F00138,138,91D,CC       LC12,KHR-1,1961-015Y,,,,,
1960 Dec 20 2032,12/20/1960,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,US,Discoverer 19,CORONA RM-1,83.4,1960 TAU,1960 TAU,S00068,68,258/FTV 1101,V        75-3-5,VCR,1960-019A,1/23/1961,89.4,307,179,N/A
1960 Dec 22 0745:19,,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,F,,[Korabl'-Sputnik],Vostok-1 No. 4,,1960-F19,1960-F19,F00140,140,L1-13A,NIIP-5   LC1,NezavB,1961-015AA,,,,,
1960 Feb  4 1851:45,,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,F,,Discoverer 9,CORONA C-6,,1960-F01,1960-F01,F00083,83,218/FTV 1052,V        75-3-4,NRO3E24,1961-005A,,,,,
1960 Feb 19 2015:14,,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,F,,Discoverer 10,CORONA C-7,,1960-F02,1960-F02,F00088,88,223/FTV 1054,V        75-3-5,NRO3E24,1961-005B,,,,,
1960 Feb 26 1725:30,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Agena A,F,,Midas 1,Midas ETS-I F1,,1960-F03,1960-F03,F00093,93,29D,CC       LC14,WS117L-571,1961-008C,,,,,
1960 Jul 28 0931,,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72,F,,[Korabl'-Sputnik],Vostok-1 No. 1,,1960-F09,1960-F09,F00108,108,L1-10,NIIP-5   LC1,NezavB,1961-014A,,,,,
1960 Jun 22 0554,6/22/1960,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Ablestar,S,US,Transit 2A,Transit 2A,66.7,1960 ETA 1,1960 ETA,S00045,45,281/AB003,CC       LC17B,SpaceWorld6111-33,1960-007A,,100.5,969,592,0.4342
1960 Jun 29 2200:44,,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,F,,Discoverer 12,CORONA Diagnostic 1,,1960-F08,1960-F08,F00104,104,160/FTV 1053,V        75-3-4,NRO3E24,1961-012B,,,,,
1960 Mar 11 1300:07,3/11/1960,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Able IV,S,US,Pioneer V,P-2,,1960 ALP 1,1960 ALP,S00027,27,219,CC       LC17A,NASA-PR60-145,1960-001A,,,,,0.0008  SU0
1960 Mar 23 1335:11,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,F,,NASA S-46,NASA S-46,,1960-F04,1960-F04,F00096,96,AM-19C,CC       LC26B,ABMA,1961-009B,,,,,
1960 May 13 0916:05,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta,F,,Echo,A-10 Echo,,1960-F07,1960-F07,F00101,101,144/D1,CC       LC17A,TR-1022,1960-002C,,,,,
1960 May 15 0000:05,5/15/1960,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72,S,CIS,Korabl'-Sputnik,Vostok-1P,65,1960 EPS 3,1960 EPS,S00036,36,L1-11,NIIP-5   LC1,VSA074,1960-005C,10/15/1965,88.3,206,171,N/A
1960 May 24 1736:46,5/24/1960,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Agena A,S,US,Midas 2,Midas ETS-I F2,33.1,1960 ZET 1,1960 ZET,S00043,43,45D,CC       LC14,RAE/PSC,1960-006A,2/7/1974,87.8,168,165,N/A
1960 Nov  3 0523:10,11/3/1960,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,S,US,Explorer 8,NASA S-30,49.9,1960 XI 1,1960 XI,S00060,60,AM-19D,CC       LC26B,ABMA,1960-014A,3/28/2012,87.8,177,158,0.452
1960 Nov 12 2042:32,11/12/1960,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,US,Discoverer 17,CORONA C'-2,81.9,1960 OMI,1960 OMI,S00061,61,297/FTV 1062,V        75-3-5,VCR,1960-015A,12/29/1960,88.4,226,166,N/A
1960 Nov 23 1113:03,11/23/1960,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta,S,US,Tiros 2,NASA A-2,48.4,1960 PI 1,1960 PI,S00063,63,245/D3,CC       LC17A,TR-1022,1960-016A,5/18/2014,87.7,163,160,0.8782
1960 Nov 30 1950,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Ablestar,F,,Transit 3A,Transit 3A,,1960-F16,1960-F16,F00132,132,283/AB006,CC       LC17B,AP,1961-015S,,,,,
1960 Oct  4 1523,12/1/1960,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Scout X-1,S,CIS,ST-2,ST-2,65,1960-U03,1960-U03,A00065,65,ST-2,WI       LA3,WDCRF,1960-017A,12/2/1960,88.4,218,171,N/A
1960 Oct  4 1750,10/4/1960,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Ablestar,S,US,Courier 1B,Courier 1B,28.3,1960 NU 1,1960 NU,S00058,58,293/AB005,CC       LC17B,MR601010-40,1960-013A,,107,1209,963,1.3
1960 Oct 10 1427:49,,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78,F,,[AMS Mars],1M No. 1,,1960-F12,1960-F12,F00117,117,L1-4M,NIIP-5   LC1,KIAM,1961-015B,,,,,
1960 Oct 11 2033:28,,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena A,F,,Samos 1 E-1,SAMOS E-1,,1960-F13,1960-F13,F00119,119,57D,PA       LC1-1,WS117L-571,1961-015D,,,,,
1960 Oct 14 1351:03,,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78,F,,[AMS Mars],1M No. 2,,1960-F14,1960-F14,F00123,123,L1-5M,NIIP-5   LC1,KIAM,1961-015H,,,,,
1960 Oct 26 2026:09,,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,F,,Discoverer 16,CORONA C'-1,,1960-F15,1960-F15,F00125,125,253/FTV 1061,V        75-3-4,VCR,1961-015K,,,,,
1960 Sep 13 2213:39,9/13/1960,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,US,Discoverer 15,CORONA C-10,80.9,1960 MU,1960 MU,S00057,57,246/FTV 1058,V        75-3-5,VCR,1960-012A,10/18/1960,89,315,133,N/A
1960 Sep 21 1301:53,11/23/1960,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Blue Scout Jr,S,US,Blue Scout D-1,HETS,48.4,1960-U02,1960-U02,A00063,63,D-1,CC       LC18A,Waldron,1960-016A,5/18/2014,87.7,163,160,0.8782
1960 Sep 25 1513,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Able,F,,P-30 (Able VA),Able VA,,1960-F11,1960-F11,F00113,113,80D,CC       LC12,KHR-1,1959-013A,,,,,
1961 Apr  8 1921:08,4/8/1961,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,US,Discoverer 23,ARGON 2,82.2,1961 LAM 1,1961 LAM,S00100,100,307/FTV 1106,V        75-3-5,VCR,1961-011A,4/16/1962,89.5,268,228,N/A
1961 Apr 12 0607:00,4/12/1961,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,S,CIS,Vostok,Vostok-3A No. 3,65,1961 MU 1,1961 MU,S00103,103,E103-16,NIIP-5   LC1,Energiya,1961-012A,4/12/1961,89.3,314,168,N/A
1961 Apr 21 0556:20,3/9/1961,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Trailblazer 1,S,CIS,Trailblazer 1g,Meteor,,1961-U02,1961-U02,A00094,94,TB Ig,WI,SAO-SR317,1961-008D,3/10/1961,,,,N/A    NIE
1961 Apr 25 1615,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas D,F,,Mercury MA-3,Mercury SC8,,1961-F03,1961-F03,F00149,149,100D,CC       LC14,KHR-1,1961-015AK,,,,,
1961 Apr 27 1416:38,4/27/1961,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,S,US,Explorer 11,NASA S-15,28.8,1961 NU 1,1961 NU,S00107,107,AM-19E,CC       LC26B,MTP-LOD-OIR-61-13.1,1961-013A,,102.4,1273,468,0.4634
1961 Aug  4 0001,,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,F,,Discoverer 28,CORONA C'-7,,1961-F08,1961-F08,F00164,164,309/FTV 1111,V        75-1-1,VCR,1961-018B,,,,,
