Launch Date and Time (UTC),Launch Date Only (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Nation of Ownership,Official Payload Name,Manufacturer's Payload Name,Inclination degrees,COSPAR,Launch Designator ,SATCAT ID,SATCAT ID w/o success code or leading zeros,LV S/N,Site,Ref,International Designator,Decay Date,Orbital Period minutes,Apogee Altitude kilometers,Perigee Altitude kilometers,Radar Cross Section meters2
1971 Apr  7 0710?,4/7/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Vostok 8A92M,S,CIS,Kosmos-405,Tselina-D,81.3,1971-028A,1971-028,S05117,5117,Yu15000-064,NIIP-53  LC43/4,RAEX,1971-028A,,94.3,493,477,5.9147
1971 Apr 14 0800?,4/14/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,CIS,Kosmos-406,Zenit-4M,81.3,1971-029A,1971-029,S05124,5124,Kh76002-050,NIIP-53  LC43/3,RAEX,1971-029A,4/24/1971,88.9,232,211,N/A
1971 Apr 15 0919:37,4/15/1971,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Diamant B,S,FR,Tournesol,D-2A,46.3,1971-030A,1971-030,S05128,5128,No. 3,CSG      Diamant,JCM,1971-030A,1/28/1980,87.6,158,155,2.308
1971 Apr 17 1144:58,4/17/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Vostok 8A92M,S,CIS,Meteor,Meteor-M No. 21 (71),81.2,1971-031A,1971-031,S05142,5142,Ya15000-059,NIIP-53  LC43/4,PL-WWW,1971-031A,1/10/1991,87.3,142,138,10.0385
1971 Apr 19 0140:00,4/19/1971,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K,S,CIS,Salyut,DOS-1 17K No. 121,51.6,1971-032A,1971-032,S05160,5160,254-01,NIIP-5   LC81/24,NK9810-25,1971-032A,10/11/1971,88.1,182,177,N/A
1971 Apr 22 1530,4/22/1971,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan 23B,S,US,OPS 7899,GAMBIT-3 Mission 4331,110.9,1971-033A,1971-033,S05171,5171,23B-9 (3B-31),V        SLC4W,LR710422,1971-033A,5/13/1971,89,322,127,N/A
1971 Apr 22 2354:06,4/22/1971,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz 11A511,S,CIS,Soyuz-10,Soyuz 7K-T No. 31,51.6,1971-034A,1971-034,S05172,5172,Kh15000-025,NIIP-5   LC1,NK9611-46,1971-034A,4/24/1971,88.6,223,188,N/A
1971 Apr 23 1130?,4/23/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,CIS,Kosmos-407,Strela-2M,74.1,1971-035A,1971-035,S05174,5174,53727-116,NIIP-53  LC132/1,RAEX,1971-035A,,100.5,794,769,2.2072
1971 Apr 24 0732:29,4/24/1971,SNMLP,"Broglio Space Centre, Kenya",-2.938333,40.2125,Scout B,S,IT,San Marco 3,San Marco C,3.2,1971-036A,1971-036,S05176,5176,S173C,SMLC,LAAFB,1971-036A,11/29/1971,93.6,679,225,N/A
1971 Apr 24 1115:02,4/24/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,CIS,Kosmos-408,DS-P1-Yu No. 37,81.7,1971-037A,1971-037,S05177,5177,-,NIIP-53  LC133/3,AVMDS,1971-037A,12/29/1971,88.1,211,152,N/A
1971 Apr 28 1435?,4/28/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,CIS,Kosmos-409,Sfera,74,1971-038A,1971-038,S05180,5180,53727-115,NIIP-53  LC132/1,RAEX,1971-038A,,109.3,1211,1176,3.0289
1971 Aug  2 1711:23,2/9/1966,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,LM AS,S,US,Falcon,LM 10 Ascent Stage,82,1971-U02,1971-U02,A02004,2004,10,HAD      LM10-DS,ApolloMR,1966-009C,11/18/1966,89.8,273,253,1.07
