Launch Date and Time (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Official Payload Name,Manufacturer's Payload Name,COSPAR,Launch Designator ,SATCAT ID,SATCAT ID w/o success code or leading zeros,Site,LV S/N,Ref,International Designator,Tag,Data Mismatch Investigation Results
1957 Dec 6 1644:35,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,Vanguard,Vanguard Test Satellite,1957-F01,1957-F01,F00002,2,CC       LC18A,TV-3,Vang-ER9948,1957-001B,,
1957 Nov 3 0230:42,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8K71PS,S,2-y ISZ,PS-2,1957 BET 1,1957 BET,S00003,3,NIIP-5   LC1,M1-2PS,Grahn-WWW,1957-002A,,
1957 Oct 4 1928:34,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8K71PS,S,1-y ISZ,PS-1,1957 ALP 2,1957 ALP,S00002,2,NIIP-5   LC1,M1-PS,Energiya,1957-001B,,
1958 Apr 27 0901:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8A91,F,[ISZ],D-1 No. 1,1958-F03,1958-F03,F00008,8,NIIP-5   LC1,B1-2,NezavB,1958-004B,,
1958 Apr 29 0253:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,Vanguard,X-ray satellite,1958-F04,1958-F04,F00011,11,CC       LC18A,TV-5,Vang-ER10300,1959-001A,,
1958 Aug 12 0000:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,NOTS 2,Diagnostic Payload 2,1958-F08,1958-F08,F00021,21,"F4D-1 747,NOTS RW  -> DZSB",2,NOTS,1959-008A,,
1958 Aug 17 1218:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Able I,F,Able I (Pioneer),Able 1,1958-F09,1958-F09,F00023,23,CC       LC17A,127,NASA-5-25-59W-V3,1959-009B,Moon,
1958 Aug 22 0000:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,NOTS 3,Diagnostic Payload 3,1958-F10,1958-F10,F00027,27,"F4D-1 747,NOTS RW  -> DZSB",3,NOTS,1960-001A,,
1958 Aug 24 0617:22,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Jupiter C,F,Explorer 5,Explorer 5,1958-F11,1958-F11,F00029,29,CC       LC5,RS/CC-47 HN,JunoFam,1960-002B,,
1958 Aug 25 0000:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,NOTS 4,Radiation Payload 1,1958-F12,1958-F12,F00032,32,"F4D-1 747,NOTS RW  -> DZSB",4,NOTS,1960-004A,,
1958 Aug 26 0000:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,NOTS 5,Radiation Payload 2,1958-F13,1958-F13,F00035,35,"F4D-1 747,NOTS RW  -> DZSB",5,NOTS,1960-005B,,
1958 Aug 28 0000:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,NOTS 6,Radiation Payload 3,1958-F14,1958-F14,F00038,38,"F4D-1 747,NOTS RW  -> DZSB",6,NOTS,1960-005E,,
1958 Dec 18 2302:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas B,S,SCORE,SCORE,1958 ZET,1958 ZET,S00010,10,CC       LC11,10B,AP,1958-006A,,
1958 Dec 4 0000:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,F,[AMS Luna] E-1 No. 3,E-1 No. 3,1958-F20,1958-F20,F00054,54,NIIP-5   LC1,B1-5,AVMNLJ,1960-010A,Moon,
1958 Dec 6 0544:52,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,S,Pioneer 3,Pioneer 3,1958 THE,1958 THE,S00111,111,CC       LC5,AM-11,JPL32-31-2,1958-008A,Moon,
1958 Feb 1 0347:56,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Jupiter C,S,Explorer 1,Explorer 1,1958 ALP,1958 ALP,S00004,4,CC       LC26A,RS-29    UE,JunoFam,1958-001A,,
1958 Feb 5 0733:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,Vanguard,Vanguard Test Satellite,1958-F01,1958-F01,F00004,4,CC       LC18A,TV-3BU,Vang-ER9955,1958-001A,,
1958 Jul 25 0000:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,NOTS 1,Diagnostic Payload 1,1958-F07,1958-F07,F00018,18,"F4D-1 747,NOTS RW  -> DZSB",1,NOTS,1959-005A,,
1958 Jul 26 1500:57,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Jupiter C,S,Explorer 4,Explorer 4,1958 EPS,1958 EPS,S00009,9,CC       LC5,RS/CC-44 TT,JunoFam,1958-005A,,
1958 Jun 26 0500:52,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,Vanguard,X-ray satellite,1958-F06,1958-F06,F00015,15,CC       LC18A,SLV-2,Vang-ER10302,1959-004A,,
1958 Mar 17 1215:41,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,S,Vanguard I,Vanguard Test Satellite,1958 BET 2,1958 BET,S00005,5,CC       LC18A,TV-4,SP-4202,1958-002B,,
1958 Mar 26 1738:03,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Jupiter C,S,Explorer 3,Explorer 3,1958 GAM,1958 GAM,S00006,6,CC       LC5,RS-24    UT,JunoFam,1958-003A,,
1958 Mar 5 1827:57,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Jupiter C,F,Explorer 2,Explorer 2,1958-F02,1958-F02,F00006,6,CC       LC26A,RS/CC-26 UV,JunoFam,1958-003A,,
1958 May 15 0700:35,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8A91,S,3-y Sovetskiy ISZ,D-1 No. 2,1958 DEL 2,1958 DEL,S00008,8,NIIP-5   LC1,B1-1,NezavB,1958-004B,,
1958 May 28 0346:20,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,Vanguard,Lyman Alpha satellite,1958-F05,1958-F05,F00013,13,CC       LC18A,SLV-1,Vang-ER10301,1959-002A,,
1958 Nov 8 0730:21,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Able I,F,Pioneer 2,Able 3,1958-F19,1958-F19,F00051,51,CC       LC17A,129,NASA-5-25-59W-V3,1960-009C,Moon,
1958 Oct 11 0000:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,F,[AMS Luna] E-1 No. 2,E-1 No. 2,1958-F17,1958-F17,F00044,44,NIIP-5   LC1,B1-4,AVMNLJ,1960-006B,Moon,
1958 Oct 11 0842:13,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Able I,F,Pioneer 1,Able 2,1958 ETA,1958 ETA,S00110,110,CC       LC17A,130,NASA-5-25-59W-V3,1958-007A,Moon,
1958 Oct 23 0321:04,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Jupiter C,F,Beacon,Beacon,1958-F18,1958-F18,F00048,48,CC       LC5,RS/CC-49 HE,JPL-FOM-59-10,1960-008A,,
1958 Sep 23 0000:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,F,[AMS Luna] E-1 No. 1,E-1 No. 1,1958-F15,1958-F15,F00040,40,NIIP-5   LC1,B1-3,AVMNLJ,1960-005G,Moon,
1958 Sep 26 1538:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,Vanguard,Cloud cover satellite,1958-U01,1958-U01,F00042,42,CC       LC18A,SLV-3,Vang-ER10303,1960-005J,,
1959 Apr 13 2118:39,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,Discoverer 2,CORONA BIO 1,1959 GAM,1959 GAM,S00014,14,V        75-3-4,170/FTV 1018,NRO3E24,1959-003A,,
1959 Apr 14 0249:46,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,Vanguard,Magnetometer satellite,1959-F01,1959-F01,F00056,56,CC       LC18A,SLV-5,Vang-ER10589,1960-011B,,
1959 Aug 13 1900:08,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,Discoverer 5,CORONA C-2,1959 EPS 1,1959 EPS,S00018,18,V        75-3-4,192/FTV 1029,NRO3E24,1959-005A,,
1959 Aug 15 0031:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,F,Beacon,Beacon,1959-F07,1959-F07,F00074,74,CC       LC26B,AM-19B,JPL32-31-3,1960-016C,,
1959 Aug 19 1924:44,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,Discoverer 6,CORONA C-3,1959 ZET,1959 ZET,S00019,19,V        75-3-5,200/FTV 1028,NRO3E24,1959-006A,,
1959 Aug 7 1424:20,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Able III,S,Explorer 6,NASA S-2,1959 DEL 1,1959 DEL,S00015,15,CC       LC17A,134,RAE/PSC,1959-004A,,
1959 Feb 17 1555:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,S,Vanguard II,Cloud cover satellite,1959 ALP 1,1959 ALP,S00011,11,CC       LC18A,SLV-4,Vang-ER10304,1959-001A,,
1959 Feb 28 2149:16,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,F,Discoverer 1,CORONA Test Vehicle 2,1959 BET,1959 BET,S00013,13,V        75-3-4,163/FTV 1022,NRO2D4,1959-002A,,
1959 Jan 2 1641:21,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,S,AMS Luna-1,E-1 No. 4,1959 MU 1,1959 MU,S00112,112,NIIP-5   LC1,B1-6,Energiya,1959-012A,Moon,
1959 Jul 16 1737:03,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,F,NASA S-1,NASA S-1,1959-F05,1959-F05,F00072,72,CC       LC5,AM-16,JPL32-31-3,1961-002B,,
1959 Jun 18 0808:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,F,[AMS Luna] E-1 No. 5,E-1 No. 5,1959-F06,1959-F06,F00064,64,NIIP-5   LC1,I1-7,NezavB,1960-016B,Moon,
1959 Jun 22 2016:09,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,F,Vanguard,Radiation Balance sat,1959-F03,1959-F03,F00066,66,CC       LC18A,SLV-6,Vang-ER-SLV6,1960-017B,,
1959 Jun 25 2247:45,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,F,Discoverer 4,CORONA C-1,1959-U01,1959-U01,F00068,68,V        75-3-5,179/FTV 1023,NRO3E3,1960-019A,,
1959 Jun 3 2009:20,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,F,Discoverer 3,CORONA BIO 2,1959-F02,1959-F02,F00060,60,V        75-3-4,174/FTV 1020,NRO3E24,1960-014A,,
1959 Mar 3 0510:56,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,S,Pioneer 4,Pioneer 4,1959 NU 1,1959 NU,S00113,113,CC       LC5,AM-14,JPL32-31-2,1959-013A,Moon,
1959 Nov 20 1925:24,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,Discoverer 8,CORONA C-5,1959 LAM,1959 LAM,S00025,25,V        75-3-5,212/FTV 1050,NRO3E24,1959-011A,,
1959 Nov 26 0726:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Able,F,P-3,Able IVB,1959-F09,1959-F09,F00081,81,CC       LC14,20D,KHR-1,1961-004A,Moon,
1959 Nov 7 2028:41,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,Discoverer 7,CORONA C-4,1959 KAP,1959 KAP,S00024,24,V        75-3-4,206/FTV 1051,NRO3E24,1959-010A,,
1959 Oct 13 1530:04,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,S,Explorer 7,NASA S-1A,1959 IOT 1,1959 IOT,S00022,22,CC       LC5,AM-19A,FOM-JUNO-AM16A,1959-009A,,
1959 Oct 4 0043:39,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,S,AMS Luna-3,E-2A,1959 THE 1,1959 THE,S00021,21,NIIP-5   LC1,I1-8,NezavB,1959-008A,Moon,
1959 Sep 12 0639:42,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,S,AMS Luna-2,E-1 No. 7,1959 XI 1,1959 XI,S00114,114,NIIP-5   LC1,I1-7B,JBIS51-231,1959-014A,Moon,
1959 Sep 17 1434:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Able II,F,Transit 1A,Transit 1A,1959-F08,1959-F08,F00077,77,CC       LC17A,136,SanMateoTimes590917,1961-003C,Moon,
1959 Sep 18 0520:07,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Vanguard,S,Vanguard III,Magne-Ray satellite,1959 ETA,1959 ETA,S00020,20,CC       LC18A,SLV-7,Vang-ER-SLV7,1959-007A,,
1960 Apr 1 1140:09,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Able II,S,Tiros 1,A-1,1960 BET 2,1960 BET,S00029,29,CC       LC17A,148,NASA-TR-R131,1960-002B,,
1960 Apr 13 1202:36,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Ablestar,S,Transit 1B,Transit 1B,1960 GAM 2,1960 GAM,S00031,31,CC       LC17B,257/AB002,RAE/PSC,1960-003B,,
1960 Apr 15 1506:45,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,F,[Luna-4],E-3 No. 1,1960-U01,1960-U01,A00045,45,NIIP-5   LC1,L1-9,NezavB,1960-007A,Moon,
1960 Apr 15 2030:37,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,Discoverer 11,CORONA C-8,1960 DEL,1960 DEL,S00032,32,V        75-3-5,234/FTV 1055,NRO3E24,1960-004A,,
1960 Apr 16 1607:41,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,F,[Luna-4],E-3 No. 2,1960-F06,1960-F06,F00098,98,NIIP-5   LC1,L1-9A,NezavB,1961-010A,Moon,
1960 Aug 10 2037:54,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,Discoverer 13,CORONA Diagnostic 2,1960 THE,1960 THE,S00048,48,V        75-3-5,231/FTV 1057,NRO3E24,1960-008A,,Actually out of Vandy; SATCAT is wrong
1960 Aug 12 0939:43,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta,S,Echo 1,A-11,1960 IOT 1,1960 IOT,S00049,49,CC       LC17A,270/D2,TR-1022,1960-009A,,
1960 Aug 18 1957:08,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,Discoverer 14,CORONA C-9,1960 KAP,1960 KAP,S00054,54,V        75-3-4,237/FTV 1056,NRO3E24,1960-010A,,
1960 Aug 18 1958:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Ablestar,F,Courier 1A,Courier 1A,1960-F10,1960-F10,F00111,111,CC       LC17B,262/AB004,Wire,1958-008A,,
1960 Aug 19 0844:06,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72,S,Korabl'-Sputnik-2,Vostok-1 No. 2,1960 LAM 1,1960 LAM,S00055,55,NIIP-5   LC1,L1-12,NezavB,1960-011A,,
1960 Dec 1 0730:04,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72,S,Korabl'-Sputnik-3,Vostok-1 No. 3,1960 RHO 1,1960 RHO,S00065,65,NIIP-5   LC1,L1-13,NezavB,1960-017A,,
1960 Dec 15 0910:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Able,F,P-31,Able VB,1960-F18,1960-F18,F00138,138,CC       LC12,91D,KHR-1,1961-015Y,Moon,
1960 Dec 20 2032:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 19,CORONA RM-1,1960 TAU,1960 TAU,S00068,68,V        75-3-5,258/FTV 1101,VCR,1960-019A,,
1960 Dec 22 0745:19,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,F,[Korabl'-Sputnik],Vostok-1 No. 4,1960-F19,1960-F19,F00140,140,NIIP-5   LC1,L1-13A,NezavB,1961-015AA,,
1960 Dec 4 2114:00,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout X-1,F,NASA S-56,NASA S-56,1960-F17,1960-F17,F00136,136,WI       LA3,ST-3,Wire,1961-015W,,
1960 Dec 7 2020:58,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 18,CORONA C'-3,1960 SIG,1960 SIG,S00067,67,V        75-3-4,296/FTV 1103,VCR,1960-018A,,
1960 Feb 19 2015:14,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,F,Discoverer 10,CORONA C-7,1960-F02,1960-F02,F00088,88,V        75-3-5,223/FTV 1054,NRO3E24,1961-005B,,
1960 Feb 26 1725:30,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Agena A,F,Midas 1,Midas ETS-I F1,1960-F03,1960-F03,F00093,93,CC       LC14,29D,WS117L-571,1961-008C,,
1960 Feb 4 1851:45,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,F,Discoverer 9,CORONA C-6,1960-F01,1960-F01,F00083,83,V        75-3-4,218/FTV 1052,NRO3E24,1961-005A,,
1960 Jul 28 0931:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72,F,[Korabl'-Sputnik],Vostok-1 No. 1,1960-F09,1960-F09,F00108,108,NIIP-5   LC1,L1-10,NezavB,1961-014A,,
1960 Jun 22 0554:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Ablestar,S,Transit 2A,Transit 2A,1960 ETA 1,1960 ETA,S00045,45,CC       LC17B,281/AB003,SpaceWorld6111-33,1960-007A,,
1960 Jun 29 2200:44,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,F,Discoverer 12,CORONA Diagnostic 1,1960-F08,1960-F08,F00104,104,V        75-3-4,160/FTV 1053,NRO3E24,1961-012B,,
1960 Mar 11 1300:07,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Able IV,S,Pioneer V,P-2,1960 ALP 1,1960 ALP,S00027,27,CC       LC17A,219,NASA-PR60-145,1960-001A,,
1960 Mar 23 1335:11,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,F,NASA S-46,NASA S-46,1960-F04,1960-F04,F00096,96,CC       LC26B,AM-19C,ABMA,1961-009B,,
1960 May 13 0916:05,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta,F,Echo,A-10 Echo,1960-F07,1960-F07,F00101,101,CC       LC17A,144/D1,TR-1022,1960-002C,,
1960 May 15 0000:05,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72,S,Korabl'-Sputnik,Vostok-1P,1960 EPS 3,1960 EPS,S00036,36,NIIP-5   LC1,L1-11,VSA074,1960-005C,,
1960 May 24 1736:46,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Agena A,S,Midas 2,Midas ETS-I F2,1960 ZET 1,1960 ZET,S00043,43,CC       LC14,45D,RAE/PSC,1960-006A,,
1960 Nov 12 2042:32,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 17,CORONA C'-2,1960 OMI,1960 OMI,S00061,61,V        75-3-5,297/FTV 1062,VCR,1960-015A,,
1960 Nov 23 1113:03,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta,S,Tiros 2,NASA A-2,1960 PI 1,1960 PI,S00063,63,CC       LC17A,245/D3,TR-1022,1960-016A,,
1960 Nov 3 0523:10,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,S,Explorer 8,NASA S-30,1960 XI 1,1960 XI,S00060,60,CC       LC26B,AM-19D,ABMA,1960-014A,,
1960 Nov 30 1950:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Ablestar,F,Transit 3A,Transit 3A,1960-F16,1960-F16,F00132,132,CC       LC17B,283/AB006,AP,1961-015S,,
1960 Oct 10 1427:49,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78,F,[AMS Mars],1M No. 1,1960-F12,1960-F12,F00117,117,NIIP-5   LC1,L1-4M,KIAM,1961-015B,Mars,
1960 Oct 11 2033:28,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena A,F,Samos 1 E-1,SAMOS E-1,1960-F13,1960-F13,F00119,119,PA       LC1-1,57D,WS117L-571,1961-015D,,
1960 Oct 14 1351:03,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78,F,[AMS Mars],1M No. 2,1960-F14,1960-F14,F00123,123,NIIP-5   LC1,L1-5M,KIAM,1961-015H,Mars,
1960 Oct 26 2026:09,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,F,Discoverer 16,CORONA C'-1,1960-F15,1960-F15,F00125,125,V        75-3-4,253/FTV 1061,VCR,1961-015K,,
1960 Oct 4 1523:00,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout X-1,S,ST-2,ST-2,1960-U03,1960-U03,A00065,65,WI       LA3,ST-2,WDCRF,1960-017A,,Actually out of Wallops; had Baikonur for unknown reason
1960 Oct 4 1750:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Ablestar,S,Courier 1B,Courier 1B,1960 NU 1,1960 NU,S00058,58,CC       LC17B,293/AB005,MR601010-40,1960-013A,,
1960 Sep 13 2213:39,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,Discoverer 15,CORONA C-10,1960 MU,1960 MU,S00057,57,V        75-3-5,246/FTV 1058,VCR,1960-012A,,
1960 Sep 21 1301:53,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Blue Scout Jr,S,Blue Scout D-1,HETS,1960-U02,1960-U02,A00063,63,CC       LC18A,D-1,Waldron,1960-016A,,
1960 Sep 25 1513:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Able,F,P-30 (Able VA),Able VA,1960-F11,1960-F11,F00113,113,CC       LC12,80D,KHR-1,1959-013A,Moon,
1961 Apr 12 0607:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,S,Vostok,Vostok-3A No. 3,1961 MU 1,1961 MU,S00103,103,NIIP-5   LC1,E103-16,Energiya,1961-012A,,
1961 Apr 21 0556:20,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Trailblazer 1,S,Trailblazer 1g,Meteor,1961-U02,1961-U02,A00094,94,WI,TB Ig,SAO-SR317,1961-008D,,
1961 Apr 25 1615:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas D,F,Mercury MA-3,Mercury SC8,1961-F03,1961-F03,F00149,149,CC       LC14,100D,KHR-1,1961-015AK,,
1961 Apr 27 1416:38,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,S,Explorer 11,NASA S-15,1961 NU 1,1961 NU,S00107,107,CC       LC26B,AM-19E,MTP-LOD-OIR-61-13.1,1961-013A,,
1961 Apr 8 1921:08,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 23,ARGON 2,1961 LAM 1,1961 LAM,S00100,100,V        75-3-5,307/FTV 1106,VCR,1961-011A,,
1961 Aug 16 0321:05,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta,S,Explorer 12,NASA S-3,1961 UPS,1961 UPS,S00170,170,CC       LC17A,312/D6,TR-1022,1961-020A,,
1961 Aug 17 1429:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Blue Scout Jr,S,O-1,HETS,1961-U01,1961-U01,A00113,113,CC       LC18A,O-1,OaklandTrib610817,1959-013A,,
1961 Aug 23 1004:10,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Agena B,S,Ranger 1,NASA P-32,1961 PHI 1,1961 PHI,S00173,173,CC       LC12,111D (AA1),CR-88008,1961-021A,Moon,
1961 Aug 25 1829:44,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout X-1,S,Explorer 13,NASA S-55A,1961 CHI,1961 CHI,S00180,180,WI       LA3,ST-6,TN-D-2468,1961-022A,,
1961 Aug 30 2000:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 29,CORONA C'''-1,1961 PSI,1961 PSI,S00181,181,V        75-3-4,323/FTV 1112,VCR,1961-023A,,
1961 Aug 4 0001:00,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,F,Discoverer 28,CORONA C'-7,1961-F08,1961-F08,F00164,164,V        75-1-1,309/FTV 1111,VCR,1961-018B,,
1961 Aug 6 0600:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,S,Vostok-2,Vostok-3A No. 4,1961 TAU 1,1961 TAU,S00168,168,NIIP-5   LC1,E103-17,VSA074,1961-019A,,
1961 Dec 11 0939:02,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,F,[Kosmos-1],Zenit-2 No. 1,1961-F14,1961-F14,F00182,182,NIIP-5   LC1,E103-21,NK96-10-65,1961-024A,,
1961 Dec 12 2040:21,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 36,CORONA C'''-5,1961 A KAP 1,1961 A KAP,S00213,213,V        75-3-4,325/FTV 1119,VCR,1961-034A,,
1961 Dec 21 1230:00,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 63S1,F,[Kosmos-1],DS-1 No. 2,1961-F15,1961-F15,F00185,185,GTsP-4   Mayak-2,2LK,AVMDS,1961-024B,,
1961 Dec 22 1912:33,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,Samos 5,Samos E-5,1961 A LAM 2,1961 A LAM,S00218,218,PA       LC1-2,114D,VCR,1961-035B,,Actually Vandy; SATCAT was wrong
1961 Dec 4 0400:16,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Blue Scout Jr,S,Blue Scout Jr. O-2,HETS,1961-U04,1961-U04,A00156,156,PA       LC-A,O-2,VCR,1961-015AS,,
1961 Feb 12 0034:36,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78,S,AMS Venera,1VA No. 2,1961 GAM 1,1961 GAM,S00080,80,NIIP-5   LC1,L1-6V,NezavB,1961-003A,,
1961 Feb 16 1305:00,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout X-1,S,Explorer 9,NASA S-56A,1961 DEL 1,1961 DEL,S00081,81,WI       LA3,ST-4,NYT610217,1961-004A,,
