Launch Date and Time (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Official Payload Name,Manufacturer's Payload Name,COSPAR,Launch Designator ,SATCAT ID,SATCAT ID w/o success code or leading zeros,Site,LV S/N,Ref,International Designator,Tag,Data Mismatch Investigation Results
1978 Mar 31 1401:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1000,Tsikada,1978-034A,1978-034,S10776,10776,NIIP-53  LC132/1,53768-307,RAEX,1978-034A,,
1978 Mar 31 2336:01,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas SLV-3D Centaur,S,INTELSAT IVA F6,INTELSAT IVA F6,1978-035A,1978-035,S10778,10778,CC       LC36B,AC-48,CCMOPS,1978-035A,,
1978 Mar 4 0740:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,S,Kosmos-992,Zenit-2M,1978-025A,1978-025,S10699,10699,NIIP-5   LC31,76042  -242,RAEX,1978-025A,,
1978 Mar 5 1754:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Delta 2910,S,Landsat 3,Landsat C,1978-026A,1978-026,S10702,10702,V        SLC2W,621/D139,KHR-1,1978-026A,,
1978 May 1 0305:04,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor DSV-2U,S,DMSP F-3,DMSP Block 5D S-3,1978-042A,1978-042,S10820,10820,V        SLC10W,143,SAC7383,1978-042A,,
1978 May 11 2259:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Delta 3914,S,OTS 2,OTS 2,1978-044A,1978-044,S10855,10855,CC       LC17A,627/D141,MOR M-492-210-78-2,1978-044A,,
1978 May 12 0407:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Vostok 8A92M,S,Kosmos-1005,Tselina-D,1978-045A,1978-045,S10860,10860,NIIP-53  LC43/4,76038  -309,RAEX,1978-045A,,
1978 May 12 1100:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1006,Vektor,1978-046A,1978-046,S10862,10862,NIIP-53  LC132/1,53746-318,RAEX,1978-046A,,
1978 May 13 1034:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas F/SVS,S,Navstar 2,Navstar GPS SVN 2,1978-047A,1978-047,S10893,10893,V        SLC3E,49F,JCM,1978-047A,,
1978 May 16 1040:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1007,Zenit-4MKM,1978-048A,1978-048,S10895,10895,NIIP-53  LC43/3,78018  -707,RAEX,1978-048A,,
1978 May 17 1439:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1008,Tselina-OK,1978-049A,1978-049,S10898,10898,NIIP-53  LC132/1,53798-316,RAEX,1978-049A,,
1978 May 19 0021:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Tsiklon-2,S,Kosmos-1009,IS,1978-050A,1978-050,S10904,10904,NIIP-5   LC90,51053-303T,RAEX,1978-050A,,
1978 May 20 1313:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas SLV-3D Centaur,S,Pioneer Venus Orbiter,Pioneer Venus Orbiter,1978-051A,1978-051,S10911,10911,CC       LC36A,AC-50,CCMOPS,1978-051A,Venus,
1978 May 23 0730:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1010,Fram,1978-052A,1978-052,S10915,10915,NIIP-53  LC43/4,77025  -046,NK96-26-40,1978-052A,,
1978 May 23 1657:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1011,Parus,1978-053A,1978-053,S10917,10917,NIIP-53  LC132/1,53768-310,RAEX,1978-053A,,
1978 May 25 1430:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1012,Zenit-2M,1978-054A,1978-054,S10919,10919,NIIP-53  LC43/3,76038  -112,RAEX,1978-054A,,
1978 May 27 0125:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM,F,Ekran,Ekran No. 13L,1978-F02,1978-F02,F00800,800,NIIP-5   LC200/40,294-02,NK9810-25,1964-025A,,
1978 May 5 1530:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1004,Zenit-2M,1978-043A,1978-043,S10846,10846,NIIP-53  LC43/3,78018  -108,RAEX,1978-043A,,
1978 Nov 1 1200:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1046,Orion,1978-102A,1978-102,S11098,11098,NIIP-53  LC41/1,78026  -864,RAEX,1978-102A,,
1978 Nov 13 0524:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas SLV-3D Centaur,S,Einstein Observatory,HEAO B,1978-103A,1978-103,S11101,11101,CC       LC36B,AC-52,KHR-1,1978-103A,,
1978 Nov 15 1145:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1047,Zenit-4MKM,1978-104A,1978-104,S11108,11108,NIIP-53  LC41/1,78038  -714,RAEX,1978-104A,,
